(0.10, 0.04)
(0.30, 0.04)
(1.00, 0.04)
(0.10, 0.04)
(0.60, 0.04)
(0.60, 0.04)
(0.60, 0.04)
(1.00, 0.04)
(0.10, 0.04)
(0.60, 0.04)
(0.00, 0.04)
(1.00, 0.04)
(0.00, 0.04)
(0.10, 0.04)
(0.30, 0.04)
(0.10, 0.04)
(0.60, 0.04)
(0.30, 0.04)
(0.30, 0.04)
(0.00, 0.04)
(1.00, 0.04)
(0.00, 0.04)
(1.00, 0.04)
(1.00, 0.04)
(0.60, 0.04)
(0.30, 0.04)
(1.00, 0.04)
(0.30, 0.04)
(0.60, 0.04)
(0.30, 0.04)
(0.00, 0.04)
(0.60, 0.04)
(0.00, 0.04)
(0.10, 0.04)
(0.00, 0.04)
(0.00, 0.04)
(1.00, 0.04)
(0.10, 0.04)
(0.30, 0.04)
(0.30, 0.04)
(0.00, 0.04)
(1.00, 0.04)
(0.00, 0.04)
(0.30, 0.04)
(1.00, 0.04)
(0.60, 0.04)
(0.10, 0.04)
(0.10, 0.04)
(0.10, 0.04)
(0.60, 0.04)
