name,perception,maxforce,result,rendering,Sequence,timestamp
jaewan_S_2,5,1.0,1.0,0.04,2,2024-09-25 15:38:44
jaewan_S_2,3,0.3,0.3,0.04,2,2024-09-25 15:38:50
jaewan_S_2,4,0.5,0.5,0.04,2,2024-09-25 15:38:54
jaewan_S_2,1,0.0,0.0,0.04,2,2024-09-25 15:38:58
jaewan_S_2,4,0.5,0.5,0.04,2,2024-09-25 15:39:04
jaewan_S_2,4,0.5,0.5,0.04,2,2024-09-25 15:39:08
jaewan_S_2,4,0.5,0.5,0.04,2,2024-09-25 15:39:13
jaewan_S_2,4,0.5,0.5,0.04,2,2024-09-25 15:39:25
jaewan_S_2,5,1.0,1.0,0.04,2,2024-09-25 15:39:32
jaewan_S_2,2,0.1,0.1,0.04,2,2024-09-25 15:39:36
jaewan_S_2,3,0.3,0.3,0.04,2,2024-09-25 15:39:40
jaewan_S_2,1,0.0,0.0,0.04,2,2024-09-25 15:39:44
jaewan_S_2,3,0.3,0.3,0.04,2,2024-09-25 15:39:48
jaewan_S_2,3,0.3,0.1,0.04,2,2024-09-25 15:39:52
jaewan_S_2,1,0.0,0.0,0.04,2,2024-09-25 15:39:58
jaewan_S_2,5,1.0,1.0,0.04,2,2024-09-25 15:40:02
jaewan_S_2,1,0.0,0.0,0.04,2,2024-09-25 15:40:07
jaewan_S_2,3,0.3,0.3,0.04,2,2024-09-25 15:40:11
jaewan_S_2,5,1.0,1.0,0.04,2,2024-09-25 15:40:16
jaewan_S_2,1,0.0,0.0,0.04,2,2024-09-25 15:40:20
jaewan_S_2,5,1.0,1.0,0.04,2,2024-09-25 15:40:25
jaewan_S_2,3,0.3,0.3,0.04,2,2024-09-25 15:40:30
jaewan_S_2,3,0.3,0.1,0.04,2,2024-09-25 15:40:36
jaewan_S_2,3,0.3,0.1,0.04,2,2024-09-25 15:40:45
jaewan_S_2,2,0.1,0.1,0.04,2,2024-09-25 15:40:52
